set,n_networks,x_range,x_IQR,x_SD,x_FP_in_PCG_CDF,dr_range,dr_IQR,dr_SD,dr_FP_in_PCG_CDF,N_x,N_dr
"PCG (n=1,000)",1000,"[-0.4131, 0.4436]","[-0.0246, 0.0256]",0.0465,,"[-0.04650, 0.02648]","[-0.0030, 0.0029]",0.00506,,140410,140368
FP roundabouts (n=2),2,"[-0.0770, 0.0925]","[-0.0088, 0.0076]",0.0342,"[p4.2, p98.0]","[-0.00816, 0.01249]","[-0.0017, 0.0013]",0.00238,"[p4.8, p98.9]",337,334
  FP 087,1,"[-0.0770, 0.0925]","[-0.0491, 0.0512]",0.0549,"[p4.2, p98.0]","[-0.00622, 0.00974]","[-0.0020, 0.0015]",0.00292,"[p9.1, p96.9]",126,123
  FP 090,1,"[-0.0187, 0.0229]","[-0.0060, 0.0053]",0.0083,"[p29.9, p72.8]","[-0.00816, 0.01249]","[-0.0013, 0.0012]",0.00199,"[p4.8, p98.9]",211,211
